date,home_team,away_team,home_confederation,away_confederation,home_elo_pre,away_elo_pre,city,country,neutral,tournament_weight,home_score,away_score,elo_diff
2000-02-05,Japan,Mexico,AFC,CONCACAF,1619.6902468834364,1913.5676277980012,So Kon Po,Hong Kong,1,1,0.0,1.0,-293.8773809145648
2000-02-06,Malta,Azerbaijan,Unknown,Unknown,1185.1537505462315,1321.1430519484966,Attard,Malta,0,1,3.0,0.0,-135.98930140226503
2000-02-06,Latvia,Lithuania,Unknown,Unknown,1460.3544156091843,1431.7874192837878,Larnaca,Cyprus,1,1,1.0,2.0,28.56699632539653
2000-02-06,Georgia,Armenia,Unknown,Unknown,1479.9931689772095,1446.425087492075,Limassol,Cyprus,1,1,2.0,1.0,33.5680814851346
2000-02-06,Ghana,South Africa,CAF,CAF,1595.488840954081,1728.2647153420849,Kumasi,Ghana,0,4,0.0,1.0,-132.77587438800379
2000-02-06,Cameroon,Algeria,Unknown,CAF,1699.6361229891827,1668.3094530803992,Accra,Ghana,1,4,2.0,1.0,31.326669908783515
2000-02-06,Albania,Andorra,Unknown,Unknown,1406.796588084223,1269.2101779758643,Attard,Malta,1,1,3.0,0.0,137.58641010835868
2000-02-06,Cyprus,Romania,Unknown,Unknown,1481.0131893603018,1859.227055212798,Nicosia,Cyprus,0,1,3.0,2.0,-378.21386585249616
2000-02-07,Egypt,Tunisia,CAF,CAF,1753.965232719887,1682.7743882092932,Kano,Nigeria,1,4,0.0,1.0,71.1908445105937
2000-02-07,Nigeria,Senegal,Unknown,CAF,1736.7869365654478,1621.722140667992,Lagos,Nigeria,0,4,2.0,1.0,115.06479589745572
2000-02-08,Albania,Azerbaijan,Unknown,Unknown,1417.7073838834883,1301.836760928079,Attard,Malta,1,1,1.0,0.0,115.87062295540932
2000-02-08,Malta,Andorra,Unknown,Unknown,1204.4600415666491,1258.2993821765988,Attard,Malta,0,1,1.0,1.0,-53.83934060994966
